phase,checkpoint,MG,within_visual,within_text,cross_modal
A1,weights/connector_phaseA1.pt,1.2087708711624146,0.9793503880500793,0.5183067917823792,0.018265174701809883
A2,weights/partA_phase2_lambda_0.2.pt,1.21786367893219,0.9861615300178528,0.5183067917823792,0.010638107545673847
A3,weights/connector_phaseA3.pt,1.2179615497589111,0.9808987379074097,0.5183067917823792,0.007887547835707664
