Sanity: VQ-VAE latent should be [B, 64, 4, 4] -> (64, 64, 4, 4)
Sanity: VQ-VAE token map should be [B, 4, 4] -> (64, 4, 4)
{'epoch': 7, 'step': 50, 'loss': 0.02667706459760666, 'perplexity': 178.34732055664062, 'dead_codes': 0, 'recon_mse': 0.008488968014717102, 'codebook_loss': 0.014550477266311646, 'commitment_loss': 0.014550477266311646, 'quantization_gap': 0.9312305450439453}
{'epoch': 8, 'step': 0, 'loss': 0.023610446602106094, 'perplexity': 184.76625061035156, 'dead_codes': 6, 'recon_mse': 0.006412086077034473, 'codebook_loss': 0.013758687302470207, 'commitment_loss': 0.013758687302470207, 'quantization_gap': 0.8805559873580933}
{'epoch': 8, 'step': 25, 'loss': 0.0269047599285841, 'perplexity': 181.88816833496094, 'dead_codes': 0, 'recon_mse': 0.007742693182080984, 'codebook_loss': 0.015329653397202492, 'commitment_loss': 0.015329653397202492, 'quantization_gap': 0.9810978770256042}
{'epoch': 8, 'step': 50, 'loss': 0.022227922454476357, 'perplexity': 190.47959899902344, 'dead_codes': 0, 'recon_mse': 0.007314495276659727, 'codebook_loss': 0.011930741369724274, 'commitment_loss': 0.011930741369724274, 'quantization_gap': 0.7635674476623535}
{'epoch': 9, 'step': 0, 'loss': 0.02371109463274479, 'perplexity': 163.5784912109375, 'dead_codes': 6, 'recon_mse': 0.007195066660642624, 'codebook_loss': 0.013212822377681732, 'commitment_loss': 0.013212822377681732, 'quantization_gap': 0.8456206321716309}
{'epoch': 9, 'step': 25, 'loss': 0.030461877584457397, 'perplexity': 212.8604278564453, 'dead_codes': 0, 'recon_mse': 0.010560888797044754, 'codebook_loss': 0.015920791774988174, 'commitment_loss': 0.015920791774988174, 'quantization_gap': 1.0189306735992432}
{'epoch': 9, 'step': 50, 'loss': 0.02341611310839653, 'perplexity': 201.8515167236328, 'dead_codes': 0, 'recon_mse': 0.006791476160287857, 'codebook_loss': 0.013299709185957909, 'commitment_loss': 0.013299709185957909, 'quantization_gap': 0.8511813879013062}
{'epoch': 10, 'step': 0, 'loss': 0.02445235475897789, 'perplexity': 207.03842163085938, 'dead_codes': 2, 'recon_mse': 0.006774787791073322, 'codebook_loss': 0.014142053201794624, 'commitment_loss': 0.014142053201794624, 'quantization_gap': 0.905091404914856}
{'epoch': 10, 'step': 25, 'loss': 0.025219526141881943, 'perplexity': 207.1274871826172, 'dead_codes': 0, 'recon_mse': 0.008459031581878662, 'codebook_loss': 0.013408396393060684, 'commitment_loss': 0.013408396393060684, 'quantization_gap': 0.8581373691558838}
{'epoch': 10, 'step': 50, 'loss': 0.028944728896021843, 'perplexity': 213.47560119628906, 'dead_codes': 0, 'recon_mse': 0.007632527034729719, 'codebook_loss': 0.0170497614890337, 'commitment_loss': 0.0170497614890337, 'quantization_gap': 1.0911847352981567}
