method,rm_score_mean,rm_win_rate_vs_sft,kl_from_reference,preference_accuracy,mean_response_length,experiment_name,peak_vram_gb,step_time_seconds,total_time_seconds,num_recorded_steps
SFT,-2.367215881347656,0.0,7.293109930941799e-06,0.550000011920929,35.295,pa2_sft_hh_rlhf,5.697619915008545,1.0064561465790758,5427.814564278,2400
DPO,-2.2630517578125,0.44999998807907104,0.017889928343853483,0.550000011920929,11.355,pa2_dpo_hh_rlhf,5.040632724761963,0.6586392001470143,1159.2709505829844,201
PPO,-2.30989501953125,0.4000000059604645,0.012582455653636908,0.5600000023841858,24.04,pa2_ppo_hh_rlhf,4.368957996368408,9.524499151353375,4105.882802309003,300
GRPO,-1.7514920043945312,0.6800000071525574,0.024042799319012237,0.5299999713897705,23.985,pa2_grpo_hh_rlhf,2.3087868690490723,4.77813046644694,2669.733754866,300
